coupling,fault,model,seed,step,torch_status,torch4ms_status,torch_loss,torch4ms_loss,loss_residual,loss_abs_diff,loss_rel_diff,torch_grad_norm,torch4ms_grad_norm,grad_norm_abs_diff,grad_norm_rel_diff,param_update_rel_l2,param_update_cosine,torch_fixed_probe_loss,torch4ms_fixed_probe_loss,fixed_probe_loss_abs_diff,fixed_probe_loss_residual,torch_fixed_probe_displacement,torch4ms_fixed_probe_displacement
free-running,none,cnn,300,1,ok,ok,1.7938188314437866,1.7938185930252075,-2.384185791015625e-07,2.384185791015625e-07,1.3291118084074694e-07,0.1720406413078308,0.1720406413078308,0.0,0.0,6.767764721605303e-08,0.9999999075676652,1.795421838760376,1.7954217195510864,1.1920928955078125e-07,-1.1920928955078125e-07,0.00010097026824951172,0.0001010894775390625
free-running,none,cnn,300,2,ok,ok,1.7926957607269287,1.7926957607269287,0.0,0.0,0.0,0.18687501549720764,0.18687503039836884,1.4901161193847656e-08,7.97386422470796e-08,5.060949331007036e-07,0.9999999950770124,1.795303463935852,1.795303463935852,0.0,0.0,0.0002193450927734375,0.0002193450927734375
free-running,none,cnn,300,3,ok,ok,1.7893946170806885,1.7893946170806885,0.0,0.0,0.0,0.09172090142965317,0.09172090142965317,0.0,0.0,2.2846219722529645e-06,1.000000005558897,1.7953567504882812,1.7953567504882812,0.0,0.0,0.00016605854034423828,0.00016605854034423828
free-running,none,cnn,300,4,ok,ok,1.7894713878631592,1.7894715070724487,1.1920928955078125e-07,1.1920928955078125e-07,6.661703697412094e-08,0.10267512500286102,0.10267510265111923,2.2351741790771484e-08,2.1769383567975845e-07,1.8282356921111013e-06,0.9999999033881198,1.7953903675079346,1.795390248298645,1.1920928955078125e-07,-1.1920928955078125e-07,0.00013244152069091797,0.00013256072998046875
free-running,none,cnn,300,5,ok,ok,1.798404574394226,1.798404574394226,0.0,0.0,0.0,0.23391148447990417,0.2339114546775818,2.9802322387695312e-08,1.274085471004554e-07,8.903383008258612e-07,1.0000000714146093,1.7952330112457275,1.795232892036438,1.1920928955078125e-07,-1.1920928955078125e-07,0.0002897977828979492,0.0002899169921875
free-running,none,cnn,300,6,ok,ok,1.7956798076629639,1.7956796884536743,-1.1920928955078125e-07,1.1920928955078125e-07,6.638671830137101e-08,0.12039177864789963,0.12039178609848022,7.450580596923828e-09,6.188612062644597e-08,3.1953901875399645e-06,0.9999997778296955,1.7952463626861572,1.7952464818954468,1.1920928955078125e-07,1.1920928955078125e-07,0.0002764463424682617,0.00027632713317871094
free-running,none,cnn,300,7,ok,ok,1.7959873676300049,1.7959872484207153,-1.1920928955078125e-07,1.1920928955078125e-07,6.637534968193596e-08,0.10338104516267776,0.10338104516267776,0.0,0.0,1.31322600525324e-06,0.9999999610300133,1.7951710224151611,1.7951710224151611,0.0,0.0,0.00035178661346435547,0.00035178661346435547
free-running,none,cnn,300,8,ok,ok,1.7944576740264893,1.7944574356079102,-2.384185791015625e-07,2.384185791015625e-07,1.3286386330115414e-07,0.16088618338108063,0.16088619828224182,1.4901161193847656e-08,9.261926351014042e-08,3.934166684669452e-06,0.999999902822891,1.7951480150222778,1.7951478958129883,1.1920928955078125e-07,-1.1920928955078125e-07,0.00037479400634765625,0.00037491321563720703
free-running,none,cnn,300,9,ok,ok,1.7910690307617188,1.7910690307617188,0.0,0.0,0.0,0.12172461301088333,0.12172460556030273,7.450580596923828e-09,6.120849689008808e-08,3.7358711147657695e-10,0.9999999893224898,1.7950718402862549,1.7950717210769653,1.1920928955078125e-07,-1.1920928955078125e-07,0.00045096874237060547,0.00045108795166015625
free-running,none,cnn,300,10,ok,ok,1.7991231679916382,1.7991230487823486,-1.1920928955078125e-07,1.1920928955078125e-07,6.625966007866744e-08,0.21678192913532257,0.21678189933300018,2.9802322387695312e-08,1.3747604565826934e-07,2.1932457958208476e-06,1.000000010345927,1.7949529886245728,1.7949528694152832,1.1920928955078125e-07,-1.1920928955078125e-07,0.0005698204040527344,0.0005699396133422852
free-running,none,cnn,300,11,ok,ok,1.79292893409729,1.79292893409729,0.0,0.0,0.0,0.17716951668262482,0.17716950178146362,1.4901161193847656e-08,8.410680049740762e-08,1.335188816719744e-07,0.9999999454548683,1.795011281967163,1.7950111627578735,1.1920928955078125e-07,-1.1920928955078125e-07,0.0005115270614624023,0.0005116462707519531
free-running,none,cnn,300,12,ok,ok,1.7876648902893066,1.7876650094985962,1.1920928955078125e-07,1.1920928955078125e-07,6.668435580344946e-08,0.15424376726150513,0.15424376726150513,0.0,0.0,6.226868532562127e-07,1.0000000062940002,1.7950090169906616,1.7950090169906616,0.0,0.0,0.0005137920379638672,0.0005137920379638672
free-running,none,cnn,300,13,ok,ok,1.7988066673278809,1.7988065481185913,-1.1920928955078125e-07,1.1920928955078125e-07,6.627131848908817e-08,0.15886975824832916,0.15886977314949036,1.4901161193847656e-08,9.37948163356804e-08,1.6645389441668447e-06,1.000000069510703,1.7948615550994873,1.7948614358901978,1.1920928955078125e-07,-1.1920928955078125e-07,0.0006612539291381836,0.0006613731384277344
free-running,none,cnn,300,14,ok,ok,1.7910799980163574,1.7910797595977783,-2.384185791015625e-07,2.384185791015625e-07,1.3311442222883061e-07,0.1576126217842102,0.1576126217842102,0.0,0.0,1.5704290329868352e-06,1.0000001128215998,1.7948637008666992,1.7948637008666992,0.0,0.0,0.0006591081619262695,0.0006591081619262695
