baseline_id,fault_id,grad_norm_abs_diff,instance_id,loss_abs_diff,param_update_rel_l2,step,torch4ms_grad_norm,torch4ms_loss,torch4ms_status,torch_grad_norm,torch_loss,torch_status
r_exec,GR-08,0.0,GR-08-B,2.384185791015625e-07,6.21486542361486e-08,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_flat,EX-02,1.862645149230957e-09,EX-02-A,1.1641532182693481e-10,0.0,1,0.012701451778411865,0.0005377563065849245,ok,0.012701449915766716,0.0005377561901696026,ok
r_flat,EX-03,0.0,EX-03-A,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_flat,EX-03,0.0,EX-03-B,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_flat,EX-04,0.0,EX-04-A,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
r_flat,EX-04,0.0,EX-04-B,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
r_flat,EX-05,0.0,EX-05-A,0.0,0.0,1,529.5950927734375,16.230960845947266,ok,529.5950927734375,16.230960845947266,ok
r_flat,EX-05,0.0,EX-05-B,0.0,0.0,1,529.5950927734375,16.230960845947266,ok,529.5950927734375,16.230960845947266,ok
r_flat,EX-09,1.1641532182693481e-10,EX-09-A,1.0913936421275139e-11,0.0,1,0.0010215953225269914,3.130971526843496e-05,ok,0.0010215954389423132,3.130972618237138e-05,ok
r_flat,EX-09,1.1641532182693481e-10,EX-09-B,1.0913936421275139e-11,0.0,1,0.0010215953225269914,3.130971526843496e-05,ok,0.0010215954389423132,3.130972618237138e-05,ok
r_flat,EX-10,0.3640214204788208,EX-10-A,4.977618455886841,0.3338930080448045,1,0.7295873165130615,3.992232084274292,ok,1.0936087369918823,8.969850540161133,ok
r_flat,EX-10,0.0,EX-10-B,9.5367431640625e-07,0.0,1,1.0936087369918823,8.969849586486816,ok,1.0936087369918823,8.969850540161133,ok
r_flat,NU-01,0.0,NU-01-A,2.9802322387695312e-08,3.812015052122635e-07,1,0.7817994356155396,0.2879709303379059,ok,0.7817994356155396,0.2879709005355835,ok
r_flat,NU-01,0.0,NU-01-B,0.0,0.0,1,1.1142230033874512,0.6504018902778625,ok,1.1142230033874512,0.6504018902778625,ok
r_flat,NU-02,0.034479223540984094,NU-02-A,0.1735866442322731,276.2401502251366,1,0.03460441157221794,0.07641331106424332,ok,0.00012518803123384714,0.24999995529651642,ok
r_flat,NU-02,8.903809793991968e-05,NU-02-B,0.16663291305303574,1.0,1,0.0,0.08336704224348068,ok,8.903809793991968e-05,0.24999995529651642,ok
r_flat,NU-04,0.0,NU-04-A,0.0,0.0,1,0.0013706005411222577,0.1252264827489853,ok,0.0013706005411222577,0.1252264827489853,ok
r_flat,NU-04,0.0,NU-04-B,0.0,0.0,1,0.0013706005411222577,0.1252264827489853,ok,0.0013706005411222577,0.1252264827489853,ok
r_flat,NU-06,0.0,NU-06-A,9.313225746154785e-10,0.0,1,0.016711963340640068,0.01004160288721323,ok,0.016711963340640068,0.010041603818535805,ok
r_flat,NU-06,0.0,NU-06-B,9.313225746154785e-10,0.0,1,0.016711963340640068,0.01004160288721323,ok,0.016711963340640068,0.010041603818535805,ok
r_flat,GR-01,0.0,GR-01-A,5.960464477539063e-08,0.0,1,0.6977111101150513,0.9945229291915894,ok,0.6977111101150513,0.9945229887962341,ok
r_flat,GR-01,5.960464477539063e-08,GR-01-B,0.0,0.0,1,0.6482442617416382,0.9507361650466919,ok,0.6482442021369934,0.9507361650466919,ok
r_flat,GR-02,0.0,GR-02-A,0.0,0.0,1,0.296615868806839,1.0932762622833252,ok,0.296615868806839,1.0932762622833252,ok
r_flat,GR-02,0.0,GR-02-B,2.384185791015625e-07,6.21486542361486e-08,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_flat,GR-03,0.0,GR-03-A,0.0,0.0,1,0.296615868806839,1.0932762622833252,ok,0.296615868806839,1.0932762622833252,ok
r_flat,GR-03,0.0,GR-03-B,1.1920928955078125e-07,1.4563312661973164e-08,1,0.6394991278648376,1.2661385536193848,ok,0.6394991278648376,1.2661386728286743,ok
r_flat,GR-04,0.0,GR-04-A,0.0,1.125613262245603e-07,1,0.33095645904541016,0.8475249409675598,ok,0.33095645904541016,0.8475249409675598,ok
r_flat,GR-04,5.960464477539063e-08,GR-04-B,0.0,0.8964590550039899,1,0.6482442617416382,0.9507361650466919,ok,0.6482442021369934,0.9507361650466919,ok
r_flat,GR-06,0.0,GR-06-A,2.384185791015625e-07,0.8868525329895933,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_flat,GR-06,5.960464477539063e-08,GR-06-B,1.1920928955078125e-07,9.781793617066647e-08,1,0.7616783976554871,1.0405226945877075,ok,0.7616783380508423,1.040522575378418,ok
r_flat,GR-08,0.0,GR-08-A,0.0,0.0,1,0.296615868806839,1.0932762622833252,ok,0.296615868806839,1.0932762622833252,ok
r_flat,GR-08,0.0,GR-08-B,2.384185791015625e-07,6.21486542361486e-08,1,1.1988321542739868,1.9465463161468506,ok,1.1988321542739868,1.9465465545654297,ok
r_hier,EX-01,0.0,EX-01-A,5.960464477539063e-08,0.0,1,0.18239682912826538,0.998058021068573,ok,0.18239682912826538,0.9980580806732178,ok
r_hier,EX-01,0.0,EX-01-B,5.960464477539063e-08,0.0,1,0.18239682912826538,0.998058021068573,ok,0.18239682912826538,0.9980580806732178,ok
r_hier,EX-02,1.862645149230957e-09,EX-02-A,1.1641532182693481e-10,0.0,1,0.012701451778411865,0.0005377563065849245,ok,0.012701449915766716,0.0005377561901696026,ok
r_hier,EX-02,1.862645149230957e-09,EX-02-B,1.1641532182693481e-10,0.0,1,0.012701451778411865,0.0005377563065849245,ok,0.012701449915766716,0.0005377561901696026,ok
r_hier,EX-03,0.0,EX-03-A,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_hier,EX-03,0.0,EX-03-B,9.313225746154785e-10,0.0,1,0.017558498308062553,0.009249023161828518,ok,0.017558498308062553,0.009249022230505943,ok
r_hier,EX-04,0.0,EX-04-A,5.960464477539063e-08,1.1916382483698346e-07,1,10.702357292175293,0.31816789507865906,ok,10.702357292175293,0.31816795468330383,ok
